#separator:tab
#html:true
#notetype column:1
#deck column:2
#tags column:10
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	53	Which of the following choices isn't a cloud computing category?<br>	Networking-as-a-Service (NaaS)	NaaS isn't a cloud computing category.		Platform-as-a-Service (PaaS) |&nbsp;Infrastructure-as-a-Service (IaaS) | Software-as-a-Service (SaaS)		cloud_concepts
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	206	You need to deploy an Azure virtual machine running Windows 2019. You need to ensure that the services running on the virtual machine are available if one of the assigned data centers fails. You deploy the virtual machines to two Availability Zones. Does that meet the goal?	Yes	There is redundancy from one data center to the next, given system protection, should one data center fail. The use case presented provides ample&nbsp;assurances.		No		mc-graw
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	208	A PAAS that hosts web apps in Azure provides the ability to scale the platform automatically.&nbsp;	True			False		mock
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	209	A PAAS that hosts web applications in Azure provides professional development services to continuously add features to custom applications.	True			False		mock
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	210	Azure provides flexibility between CapEx and OpEx.	True			False		mock
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	211	"A company is planning to move some of its on-premises resources to Azure. They have to provide a business justification for moving to Azure. They have to classify expenses as part of the business justification. ""Software Leasing"" was put into a category of ""Operational Expenditure"". Is this true?&nbsp;"	True			False		mock
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	212	While implementing SaaS, what is the responsibility of the user?	<div><div><div><div><div>configuring the SaaS solution</div></div></div></div></div>			<div><div><div><div><div>configuring high availability |&nbsp;defining scalability rules | installing the SaaS solution</div></div></div></div></div>		mock
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	213	Company ABZ has an on-premises network that contains several servers. Now they are planning to migrate all servers to Azure. Which solution ensures that some of the servers are available if a single Azure data center goes offline for an extended period?	Fault Tolerance			Elasticity | Scalability |&nbsp;Low Latency		mock
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	214	<div> <div><div><div><div><div>Company ABC is now hosting its infrastructure in a private cloud and wonders which data center can be closed.</div></div><div></div></div></div></div> </div> <div> </div> <div></div>	<div><div><div><div><div>Public Cloud</div></div></div></div></div>			<div><div><div><div><div>Private Cloud |&nbsp;Hybrid Cloud | on a Hyper-V</div></div></div></div></div>		mock
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	215	Company ABC is planning to migrate a public website to Azure; what else must Company ABC plan to do?	<div><div><div><div><div>pay monthly usage costs&nbsp;</div></div></div></div></div>			<div><div><div><div><div>deploy VPN | pay to transfer all the website data to Azure | reduce the number of connection&nbsp;</div></div></div></div></div>		mock
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	216	<div><div>Company ABC plans to migrate all its data and resources to Azure.</div><div>Company ABC’s migration plan states that only Platform as a Service (PaaS) solutions must be used in Azure.</div><div>You need to deploy an Azure environment that meets the company migration plan.</div><div>Solution: You create an Azure App Service and Azure SQL databases.</div><div>Did you meet the goal?</div></div>	True			False		mock
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	217	<div><div>Company ABC hosts an accounting application named AppNew that is used by all the customers of the company.</div><div>AppNew has low usage during the first three weeks of each month and very high usage during the last week of each month.</div><div>Which benefit of Azure Cloud Services supports cost management for this type of usage pattern?</div></div>	<div><div><div><div><div>elasticity</div></div></div></div></div>			<div><div><div><div><div>high availability | high latency | load balancing</div></div></div></div></div>		mock
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	219	<div><div>Amani plans to migrate a web application to Azure. The web application is accessed by external users.</div><div>Amani needs to recommend a cloud deployment solution to minimize the amount of administrative effort used to manage the web application.</div><div>What should you include in the recommendation?</div></div>	<div><div><div><div><div>PaaS</div></div></div></div></div>			SaaS | IaaS | DaaS		mock
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	220	<div>A cloud environment has several advantages over a physical environment and these benefits become available to companies once they have migrated to the cloud. One of these benefits is referred to as agility. What does agility provide?</div>	Cloud-based resources can be deployed and configured quickly as your requirements change.	With Agility, cloud-based resources can be deployed and configured quickly as your application requirements change.		Applications and data can be deployed to regional datacenters around the globe. |&nbsp;Your cloud-based applications can provide continuous user experience with no apparent downtime even when things go wrong. |&nbsp;You can deploy your applications with the confidence that comes from knowing that your data is safe in the event of a disaster.		coursera
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	221	<div>One of the advantages of cloud computing is scalability. Applications can be scaled vertically and horizontally. Do you think that the following statement is true or false?<br></div><div><div>Horizontal scalability is when computing capacity can be increased by adding additional RAM or CPUs to a virtual machine.</div></div>	False	<div><div><div><div>With vertical scaling, computing capacity can be increased by adding additional RAM or CPUs to a virtual machine. </div><div>With horizontal scaling, computing capacity can be increased by adding instances of a resource. </div><div>You can scale vertically by adding additional virtual machines to your configuration.</div></div></div></div>		True		coursera
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	222	<div>Cloud service providers operate on a consumption-based model. Which of the following are characteristics of a consumption-based model?<br></div><div><div>Select all that apply.</div></div>	There is no need for companies to purchase and manage costly infrastructure that they may or may not use to its full capacity. |&nbsp;You only pay for additional resources when they are needed.			<div><div><div><div><div><div>Consumers must pay the costs up front. | Resources will be charged even when they are not in use.</div></div></div></div></div></div>		coursera
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	223	Which of the following management tools is a command-line interface that is browser-based and machine- and OS-independent?	Azure Cloud Shell	Azure Cloud Shell is a web-based management tool accessible from virtually any device. Users can utilize the command-line interface in either Bash or Power Shell mode.		Azure CLI |&nbsp;Azure Portal |&nbsp;Azure PowerShell		mc-graw
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	224	<div>Review the following scenario and replace the word you believe is inaccurate with one of the following choices. Azure CLI incorporates both Bash and PowerShell using the browser-based experience.</div>	Azure Cloud Shell	A user can access both PowerShell and Bash command-line tools from Cloud Shell only.		ARM Templates |&nbsp;Azure PowerShell |&nbsp;The statement is accurate.		mc-graw
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	225	<div>Review the following scenario and replace the word you believe is inaccurate with one of the following choices.</div> <div>Azure Portal allows for either the use of the Home page or custom dashboards as a way for users to interact with cloud resources throughout the platform.</div>	The statement is accurate.	Only this option offers users two ways to expose all features in Microsoft Azure.		<div>Azure Monitor | Azure IoT Central | Azure Machine Learning</div>		mc-graw
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	226	If a user cannot run PowerShell as an Admin or Superuser, which command line should they execute?	Install-Module -Name Az -AllowClobber -Scope CurrentUser	Setting the scope for the current user as Administrator or Superuser is not supported. In this case, you still need to set the scope.		<div>Install-Module -Name Az -AllowClobber -Scope Superuser | Install-Module -Name Az -AllowClobber -Scope Administrator | Install-Module -Name Az -AllowClobber -Scope None</div>		mc-graw
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	227	Which of the following is not a capability that one can complete with the Azure Mobile App?	Create machine learning models	You can only review the state of Machine Learning services; you cannot create any using the Azure mobile app at this time.		<div>Monitor the health and status of Azure resources | Diagnose and fix issues using the Azure Portal or one of the command-line interfaces | Run command-line operations to manage Azure-specific resources</div>		mc-graw
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	228	The most efficient way to distribute Azure Resource Management (ARM) templates is using which tool?	Azure Resource Manager	Azure Resource Manager is a container to hold templates.		Azure Cloud Shell |&nbsp;Azure Resource Groups |&nbsp;Azure PowerShell		mc-graw
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	229	&nbsp;Your organization is experiencing an outage on all its virtual machine instances. Where should you check first to determine the cause of this issue?	&nbsp;Azure Status page	The best practice is to check on global system performance first before focusing on individual resources and services.		<div>Azure Resource Health page | Azure Service Health page | Azure Advisor</div>		mc-graw
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	230	Under what circumstances would you configure your Synapse Analytics environment to be always available?	During unpredictable, burst-based workloads	Unpredictable, burst-based workloads is the only condition that meets all the criteria described in the question.		Synapse Analytics must always be available regardless of circumstances |&nbsp;To ensure reserved processing power and optimized savings |&nbsp;During predictable batch jobs		mc-graw
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	231	Which of the following solutions is used to help model data from sources such as data warehouses and data lakes to train machine learning models?	Azure Databricks	Azure Databricks is the correct response, since the solution helps model data from data warehouses and data lakes to train machine learning models.		<div>HDInsight | Azure Synapse Analytics | Cognitive Services</div>		mc-graw
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	232	Which of the following solutions is like a Hadoop cluster for processing big data?	HDInsight	HDInsight is a clustered Hadoop product for the processing of big data.		Azure Databricks |&nbsp;Azure Synapse Analytics |&nbsp;Cognitive Services		mc-graw
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	233	<div>Review the following scenario and replace the word you believe is inaccurate with one of the following choices.</div> <div>Azure Functions are intended for use when applications require advanced connectors, triggers, and actions delivered using serverless orchestration.</div>	Azure Logic Apps	The statement is inaccurate, as Azure Logic Apps is intended for serverless orchestration.		Cognitive Services |&nbsp;Azure Bots |&nbsp;The answer is accurate.		mc-graw
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	234	<div>Review the following scenario and replace the word you believe is inaccurate with one of the following choices.</div> <div>Microsoft DevOps is a Software as a Service cloud solution for managing the build, deployment, delivery, and operational activities in Azure.</div>	The answer is accurate.	DevOps is a collection of a cloud-based web applications that connect to each Azure IaaS or PaaS source.		Infrastructure as a Service |&nbsp;Platform as a Service | Hybrid computing		mc-graw
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	235	Azure China is a physically isolated instance of Azure available only to Chinese government entities.	No	Azure China is a physically isolated instance of Azure, but it is available to business as well as governmental organizations within China.		Yes		wiley
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	236	You are setting up resources in Azure and need to filter traffic based on source IP address and port, destination IP address and port, and protocol between your on-premises network and Azure. Which of the following meets these minimum requirements?	Azure Firewall	Azure Firewall provides traffic filtering based on the specified criteria and can filter traffic between Azure subnets and between Azure and your on-premises network. ExpressRoute is a VPN solution that does not provide traffic filtering. Application security groups enable you to group applications and apply network security as a group using network security groups. They do not provide the required filtering. User-defined routes enable you to create custom routes but not to filter traffic.		Express Route | Application security groups | User-defined routes		wiley
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	237	Which of the following is not a true statement?	You can run Azure CLI directly in the Azure portal	You cannot run the Azure CLI directly in the Azure portal, but instead must open the Azure Cloud Shell from the portal and then choose Azure CLI. See Chapter 7 for more information.		You can use the Azure Mobile App to run the Azure CLI |&nbsp;You can run the Azure CLI from within the Azure Cloud Shell |&nbsp;You can install the Azure CLI on a Windows device		wiley
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	238	Your organization is building an IoT solution that enables you to monitor and control thousands of sensors deployed in your manufacturing facilities. You need to be able to analyze the telemetry data coming from the devices. Which of the following is the appropriate Azure solution?	IoT Central	IoT Central provides the means to receive data from IoT devices and analyze telemetry data. IoT Hub enables you to gather data from IoT devices but does not provide analysis capabilities, making option A incorrect. Sphere is appropriate for developing highly secure IoT solutions and is not the best solution in this scenario.		IoT Hub | Sphere | None of the above		wiley
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	239	<div>Is the underlined portion of the following statement true, or does it need to be replaced with one of the other fragments that appear below? </div> <div>Azure Monitor enables you to define budgets for your Azure subscriptions, set spending thresholds, and receive notifications when spending crosses those thresholds.&nbsp;</div>	Azure Cost Management	Azure Cost Management is the service that enables you to establish budgets on your Azure subscriptions and receive alerts. Azure Quota Management and Azure Budget Management are not services in Azure. Azure Monitor enables you to establish alerts but is not specific to spending or cost management.		Azure Budget Management |&nbsp;Azure Quota Management |&nbsp;No change is needed		wiley
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	240	Is the underlined portion of the following statement true, or does it need to be replaced with one of the other fragments that appear below?<div>Azure Bot Services&nbsp;<u>provides the capability to analyze photos and other data types to identify specific content</u>.&nbsp;</div>	enables you to build virtual agents that interact with users in a humanlike way.	Azure Bot Service can interact with other Azure services, making option A incorrect. Azure Cognitive Services provides natural language translation capabilities and the ability to analyze data content, not Azure Bot Service.		is a stand-alone Azure service that cannot interact with other Azure services. |&nbsp;provides natural language translation services. |&nbsp;No change is needed.		wiley
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	241	<div>Is the underlined portion of the following statement true, or does it need to be replaced with one of the other fragments that appear below? </div> <div>When you delete a blueprint, <u>all of the resources defined in the blueprint are deleted.</u>&nbsp;</div>	none of the resources defined in the blueprint are deleted.	Deleting a blueprint does not delete the resources defined in the blueprint. Deleting a blueprint only affects that version of the blueprint, not all versions. You must publish a blueprint before you can assign it, but not to delete it.		all versions of the blueprint are deleted. |&nbsp;you must publish the change for it to take effect. |&nbsp;No change is needed.		wiley
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	242	Your organization is considering moving many of its IT services from an on-premises data center to Azure to reduce costs and take advantage of new technologies and capabilities. To which of the following would you turn for guidance, tools, and assessments to help with a migration of workloads to Azure?	Cloud Adoption Framework for Azure	The Cloud Adoption Framework for Azure provides a large library of documentation built on best practices, planning templates and tools, and assessments to help you deploy Azure workloads, making option D correct. FastTrack for Azure can assist you with deploying Azure but does not offer the resources included in the framework. Azure TCO Calculator and Azure Pricing Calculator are useful tools for planning and estimating the cost of an Azure migration, but like FastTrack do not offer the same level or resources as the Cloud Adoption Framework.		Azure Pricing Calculator |&nbsp;FastTrack for Azure |&nbsp;Azure TCO Calculator		wiley
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	243	Your organization recently completed a new project that requires you to maintain a large amount of data for compliance reasons. Your existing on-premises storage does not have the capacity to store the data and you propose moving the data to Azure. The data will only be accessed if an audit occurs. Which of the following storage types offers the most cost-effective solution?	Archive access storage	Azure Files is an active file storage option intended for frequent use, as is disk storage, making both of these more expensive solutions in this scenario. Cool access storage is used to store data that is accessed less frequently and generally for a transitional period before it is moved to archive storage. Archive access storage is the most appropriate storage type for this scenario.		Azure Files |&nbsp;Disk storage |&nbsp;Cool access storage		wiley
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	244	Which of the following use scenarios are appropriate for Azure Advisor? (Choose all that apply.)	Determining ways to reduce costs |&nbsp;Getting recommendations for improving security	Azure Advisor provides recommendations for cost management, security, operational excellence, reliability, and performance, making options A and C correct. You cannot deploy policies or initiatives through Azure Advisor. Service Health is the appropriate service to view service health, making option D incorrect.		Deploying security policies and initiatives based on recommendations from Microsoft |&nbsp;Viewing service health		wiley
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	245	Which of the following represents a three-year agreement with Microsoft through which you can purchase Azure services?	Enterprise agreement	An enterprise agreement is a three-year licensing agreement with Microsoft for products and services and can include Azure services, making option C correct. A cloud solution provider is a Microsoft partner that provides managed cloud services. Premier Support is a support contract, similar to Unified Support, through which you purchase reactive support and proactive services from Microsoft. There is no licensing agreement called Azure Enterprise Licensing.		Premier Support |&nbsp;Cloud solution provider |&nbsp;Azure Enterprise Licensing		wiley
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	246	<div>Is the underlined portion of the following statement true, or does it need to be replaced with one of the other fragments that appear below? </div> <div>The CanNotDelete lock <u>is more restrictive than the ReadOnly lock.&nbsp;</u></div>	is less restrictive than the ReadOnly lock.	The CanNotDelete lock enables read and modify rights for authorized administrators but not delete rights for a resource. The ReadOnly lock allows only read access but not modification or deletion. The CanNotDelete lock is therefore less restrictive than the ReadOnly lock. CanNotDelete does not prevent modification, making option A incorrect.		prevents administrators from modifying a resource. |&nbsp;enables administrators to read but not modify a resource. |&nbsp;No change is needed.		wiley
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	247	Your organization has made the decision to move workloads into Azure. As the Directory Services administrator, you need to explain authentication and authorization in Azure to the program managers leading the project. Which of the following are correct statements?	Validating that a user account has the necessary permissions to access a resource is an example of authorization. |&nbsp;Authentication identifies a user but does not provide access to resources.	Identifying a user by username and password is a form of authentication, not authorization. Providing a password identifies a user; it does not authorize the user to access resources.		Providing a password to access a shared resource is a form of authorization. |&nbsp;Identifying a user by a username and password is a form of authorization.		wiley
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	248	You have a large Azure implementation. Your organization has experienced financial difficulties and you must reduce costs, but you cannot reduce the resources you have deployed in Azure. Which of the following would provide cost reductions of any size?	Using spot pricing for noncritical VMs |&nbsp;Moving resources to less expensive regions where possible |&nbsp;Using Azure reservations to prepay for services	Spot pricing for VMs offers a significant savings for noncritical VMs that can be deallocated without impact to your services. Prepaying for Azure services through Azure reservations could result in as much as 70 percent savings on many of your Azure resources. Moving resources to a less expensive region can reduce some costs if you exclude possible network charges incurred during the move. Moving from Azure SQL Database to Azure SQL Managed Instance would likely result in higher cost.		Moving all SQL instances from Azure SQL Database to Azure SQL Managed Instance		wiley
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	249	Which of the following in an example of vertical scaling?	Reducing memory allocated to VMs when demand decreases |&nbsp;Adding CPU cores to a VM when demand increases	Vertical scaling refers to adding or removing resources such as CPU cores or memory as demand changes. See Chapter 2 for more information.		Adding VMs to a web app as demand increases		wiley
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	250	<div>Is the underlined portion of the following statement true, or does it need to be replaced with one of the other fragments that appear below? </div> <div>You are evaluating moving a web application that you host on-premises to Azure. The solution comprises three VMs—a web front end, an application server, and a database server. You need to ensure that your administrators can access all of the VMs for remote management on port 3389, but only the web front end should be accessible over port 80. You decide to <u>deploy an application security group to protect the web server and enable access to the other servers.&nbsp;</u></div>	deploy a network security group to filter traffic and meet both requirements.	Web Application Firewall protects web applications from common attacks and does not provide traffic filtering, making options A and B incorrect. A network security group filters traffic between subnets based on the specified criteria, making option C the correct answer.		deploy Web Application Firewall to filter and route traffic to the web server and deploy network security groups to enable RDP to all three VMs |&nbsp;deploy Web Application Firewall to filter the traffic and meet both requirements. |&nbsp;No change is needed.		wiley
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	251	Which of the following is an example of a honeytoken attack?	Login to a fake account that you created	Testing multiple passwords against a username is an example of a brute-force attack. Making authentication attempts against an alphabetical list of usernames is an example of a reconnaissance attack.		Authentication attempts against an alphabetical list of usernames |&nbsp;Testing multiple passwords against a username |&nbsp;None of the above		wiley
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	252	<div>Is the underlined portion of the following statement true, or does it need to be replaced with one of the other fragments that appear below? </div> <div>IoT Hub is an Azure service that <u>enables you to view telemetry from IoT devices and view a dashboard showing device state.&nbsp;</u></div>	provides bidirectional communication between IoT devices and other Azure services and/or an IoT application.	IoT Hub provides bidirectional communication services for IoT devices and IoT applications and services. Dashboards for viewing and managing devices is a function of IoT Central, not IoT Hub. Option A describes the function of Azure Sphere.		supports secure communication between devices and controls applications using custom microcontrollers and certificate-based authentication of devices. |&nbsp;enables you to easily manage deployed IoT devices with dashboards and reports. |&nbsp;No change is needed.		wiley
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	253	Which of the following would you use to ensure that the VMs added to a resource group do not exceed certain limits for the number of CPU cores and memory?	Azure Policies	You can use Azure Policies to enforce restrictions on VM resources. See Chapter 4 for more information.		Azure Initiatives |&nbsp;Azure Configuration Manager |&nbsp;Resource Locks		wiley
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	254	Which of the following is a popular code repository for open source software development?	GitHub	Although Azure DevOps provides features and functions similar to GitHub, GitHub is intended for open source projects.		Azure DevTest Labs |&nbsp;Azure DevOps |&nbsp;Azure Artifacts		wiley
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	255	Your company has datacenters in Los Angeles and New York. The company has a Microsoft Azure subscription. You are configuring the two datacenters as geo-clustered sites for site resiliency. You need to recommend an Azure storage redundancy option. You have the following data storage requirements:<br><ul><li>Data must be stored on multiple nodes.</li><li>Data must be stored on nodes in separate geographic locations.</li><li>Data can be read from the secondary location as well as from the primary location</li></ul>Which of the following Azure stored redundancy options should you recommend?<br>	Read-only geo-redundant storage	RA-GRS allows you to have higher read availability for your storage account by providing read only access to the data replicated to the secondary location. Once you enable this feature, the secondary location may be used to achieve higher availability in the event the data is not available in the primary region. This is an opt-in feature which requires the storage account be geo-replicated.		Geo-redundant storage |&nbsp;Zone-redundant storage |&nbsp;Locally redundant storage		measure-up
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	256	<ul><li>Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result.</li><li>Establish if the solution satisfies the requirements.</li><li>Your company's Azure subscription includes a Basic support plan.</li><li>They would like to request an assessment of an Azure environment's design from Microsoft. This is, however, not supported by the existing plan.</li><li>You want to make sure that the company subscribes to a support plan that allows this functionality, while keeping expenses to a minimum.</li><li>Solution: You recommend that the company&nbsp;subscribes to the Professional Direct support plan.</li></ul>	No	Answer based on community vote		Yes		measure-up
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	257	<ul><li>Establish if the solution satisfies the requirements.</li><li>You are tasked with deploying Azure virtual machines for your company.</li><li>You need to make use of the appropriate cloud deployment solution.</li><li>Solution: You should make use of Software as a Service (SaaS).</li><li>Does the solution meet the goal?</li></ul>	No	Based on vote		Yes		measure-up
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	258	<ul><li>Establish if the solution satisfies the requirements.</li><li>You are tasked with deploying Azure virtual machines for your company.</li><li>You need to make use of the appropriate cloud deployment solution.</li><li>Solution: You should make use of Platform as a Service (PaaS).</li><li>Does the solution meet the goal?</li></ul>	No	Based on community vote		Yes		measure-up
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	259	<ul><li>Establish if the solution satisfies the requirements.</li><li>You are tasked with deploying Azure virtual machines for your company.</li><li>You need to make use of the appropriate cloud deployment solution.</li><li>Solution: You should make use of Infrastructure as a Service (IaaS).</li><li>Does the solution meet the goal?</li></ul>	Yes			No		measure-up
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	260	Your developers have created 10 web applications that must be host on Azure.<br>You need to determine which Azure web tier plan to host the web apps. The web tier plan must meet the following requirements:<br><ul><li>The web apps will use custom domains.</li><li>The web apps each require 10 GB of storage.</li><li>The web apps must each run in dedicated compute instances.</li><li>Load balancing between instances must be included.</li><li>Costs must be minimized.</li></ul>Which web tier plan should you use?<br>	Basic	Standard offers 50 GB of storage space, while Basic only gives 10 GB.		Standard | Free | Shared		measure-up
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	261	You are planning to migrate a company to Azure. Each of the company's numerous divisions will have an administrator in place to manage the Azure resources used by their respective division.<br>You want to make sure that the Azure deployment you employ allows for Azure to be segmented for the divisions, while keeping administrative effort to a minimum.<br>Solution: You plan to make use of several Azure Active Directory (Azure AD) directories.<br>Does the solution meet the goal?	No			Yes		measure-up
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	262	Your developers have created a portal web app for users in the Miami branch office. The web app will be publicly accessible and used by the Miami users to retrieve customer and product information. The web app is currently running in an on-premises test environment.<br>You plan to host the web app on Azure.<br>You need to determine which Azure web tier plan to host the web app. The web tier plan must meet the following requirements:<br><ul><li>The website will use the miami.weyland.com URL.</li><li>The website will be deployed to two instances.</li><li>SSL support must be included.</li><li>The website requires 12 GB of storage.</li><li>Costs must be minimized.</li></ul>Which web tier plan should you use?<br>	Standard			Basic | Free | Shared		measure-up
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	263	Your company is planning to migrate all their virtual machines to an Azure pay-as-you-go subscription. The virtual machines are currently hosted on the Hyper-V hosts in a data center.<br>You are required make sure that the intended Azure solution uses the correct expenditure model.<br>Solution: You should recommend the use of the elastic expenditure model.<br>Does the solution meet the goal?	No			Yes		measure-up
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	264	Your company is planning to migrate all their virtual machines to an Azure pay-as-you-go subscription. The virtual machines are currently hosted on the Hyper-V hosts in a data center.<br>You are required make sure that the intended Azure solution uses the correct expenditure model.<br>Solution: You should recommend the use of the scalable expenditure model.<br>Does the solution meet the goal?	No			Yes		measure-up
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	266	Your company is planning to migrate all their virtual machines to an Azure pay-as-you-go subscription. The virtual machines are currently hosted on the Hyper-V hosts in a data center.<br>You are required make sure that the intended Azure solution uses the correct expenditure model.<br>Solution: You should recommend the use of the operational expenditure model.<br>Does the solution meet the goal?	Yes			No		measure-up
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	267	You are required to deploy an Artificial Intelligence (AI) solution in Azure.<br>You want to make sure that you are able to build, test, and deploy predictive analytics for the solution.<br>Solution: You should make use of Azure Cosmos DB.<br>Does the solution meet the goal?	No			Yes		measure-up
Multiple Choice (optional reversed card)	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	268	Your company'ss Active Directory forest includes thousands of user accounts.<br>You have been informed that all network resources will be migrated to Azure. Thereafter, the on premises data center will be retired.<br>You are required to employ a strategy that reduces the effect on users, once the planned migration has been completed.<br>Solution: You plan to sync all the Active Directory user accounts to Azure Active Directory (Azure AD).<br>Does the solution meet the goal?	Yes			No		measure-up
